0.41	1558.713591	-4300.684636	-2741.971044	2.435338	0.187540
0.415	1559.942663	-4301.766025	-2741.823362	2.426243	0.182807
0.42	1562.280185	-4304.189563	-2741.909377	2.413505	0.178305
0.425	1565.087756	-4306.871932	-2741.784176	2.400436	0.174038
0.43	1567.291453	-4309.170743	-2741.879289	2.390261	0.170003
0.435	1567.877281	-4309.708943	-2741.831662	2.387369	0.166193
0.44	1566.242880	-4308.306812	-2742.063932	2.393122	0.162593
0.445	1562.302408	-4304.376256	-2742.073848	2.408616	0.159188
0.45	1556.467140	-4298.339560	-2741.872420	2.432084	0.155959
0.455	1549.614647	-4291.138028	-2741.523381	2.459910	0.152890
0.46	1542.938875	-4284.261041	-2741.322166	2.486887	0.149962
0.465	1537.596445	-4278.567006	-2740.970561	2.509037	0.147160
0.47	1534.398444	-4275.432847	-2741.034403	2.522064	0.144471
0.475	1533.787601	-4274.769609	-2740.982008	2.525135	0.141881
0.48	1535.923908	-4277.042382	-2741.118473	2.517014	0.139378
0.485	1540.672224	-4281.783311	-2741.111088	2.498843	0.136950
0.49	1547.593627	-4288.454931	-2740.861303	2.472578	0.134586
0.495	1556.057655	-4296.710858	-2740.653203	2.440303	0.132280
0.5	1900.800000	-4305.798517	-2404.998517	2.612445	0.130029
0.505	1907.905659	-4313.029962	-2405.124303	2.586227	0.127582
0.51	1908.172727	-4313.117912	-2404.945185	2.588893	0.125145
0.515	1900.883532	-4306.067478	-2405.183946	2.621839	0.122727
0.52	1886.517408	-4291.301199	-2404.783791	2.685125	0.120334
0.525	1866.867884	-4271.529436	-2404.661553	2.770168	0.117974
0.53	1844.529711	-4249.081455	-2404.551744	2.867419	0.115654
0.535	1822.161943	-4226.488485	-2404.326542	2.966668	0.113380
0.54	1801.899511	-4206.102110	-2404.202599	3.058869	0.111157
0.545	1785.031653	-4189.091262	-2404.059610	3.138638	0.108985
0.55	1771.953885	-4175.755817	-2403.801931	3.203887	0.106859
0.555	1762.508139	-4166.547998	-2404.039858	3.253460	0.104771
0.56	1756.594757	-4160.387312	-2403.792555	3.289179	0.102711
0.565	1754.473461	-4157.952164	-2403.478703	3.309207	0.100674
0.57	1756.256479	-4159.607651	-2403.351172	3.312740	0.098653
0.575	1761.036003	-4164.458671	-2403.422668	3.303222	0.096646
0.58	1766.793919	-4170.623173	-2403.829254	3.287962	0.094648
0.585	1771.354902	-4175.414441	-2404.059539	3.276090	0.092657
0.59	1773.337996	-4177.498234	-2404.160238	3.272888	0.090673
0.595	1772.249598	-4176.546712	-2404.297114	3.280200	0.088698
0.6	1767.933386	-4171.897764	-2403.964378	3.299801	0.086739
0.605	1760.159549	-4163.998602	-2403.839053	3.331379	0.084803
0.61	1748.856330	-4152.703925	-2403.847595	3.375221	0.082903
0.615	1734.637834	-4138.892440	-2404.254606	3.428336	0.081053
0.62	1718.943658	-4123.151336	-2404.207678	3.486709	0.079267
0.625	1703.736404	-4107.587120	-2403.850715	3.542573	0.077556
0.63	1691.177154	-4094.849351	-2403.672196	3.586864	0.075928
0.635	1683.364699	-4086.879871	-2403.515172	3.612034	0.074381
0.64	1681.991240	-4085.344491	-2403.353251	3.611966	0.072912
0.645	1687.955691	-4091.197722	-2403.242031	3.583557	0.071507
0.65	1701.017751	-4104.185934	-2403.168184	3.528195	0.070151
0.655	1719.531454	-4122.389438	-2402.857983	3.452989	0.068826
0.66	1740.471482	-4143.832668	-2403.361186	3.367680	0.067513
0.665	1760.131693	-4163.882023	-2403.750330	3.288137	0.066198
0.67	1775.294962	-4179.117323	-2403.822361	3.227080	0.064867
0.675	1784.030310	-4187.911228	-2403.880918	3.191503	0.063513
0.68	1785.677705	-4189.592752	-2403.915047	3.184136	0.062133
0.685	1780.477724	-4184.593230	-2404.115507	3.203818	0.060727
0.69	1769.473694	-4173.596201	-2404.122508	3.247251	0.059298
0.695	1754.670390	-4159.027207	-2404.356816	3.305963	0.057850
