0.48	7282.387038	-19937.207308	-12654.820269	2.441540
0.485	7264.250402	-19918.486142	-12654.235740	2.458732
0.49	7243.852198	-19897.223319	-12653.371121	2.477859
0.495	7223.547787	-19876.900802	-12653.353015	2.496419
0.5	8800.000000	-19858.674008	-11058.674008	2.725387
0.505	8773.612554	-19831.872165	-11058.259611	2.749530
0.51	8731.453887	-19789.723792	-11058.269905	2.787722
0.515	8677.518253	-19734.496363	-11056.978110	2.837214
0.52	8616.175727	-19672.361374	-11056.185647	2.893468
0.525	8552.301109	-19607.656555	-11055.355446	2.952437
0.53	8490.916218	-19545.441393	-11054.525175	3.009734
0.535	8436.123883	-19490.830196	-11054.706313	3.061359
0.54	8390.282792	-19444.855695	-11054.572903	3.105677
0.545	8353.997970	-19408.516035	-11054.518065	3.141792
0.55	8326.553281	-19381.648191	-11055.094911	3.169871
0.555	8306.206002	-19361.018089	-11054.812086	3.191780
0.56	8290.769232	-19345.652508	-11054.883276	3.208718
0.565	8278.670564	-19332.941835	-11054.271271	3.222358
0.57	8269.850614	-19323.414426	-11053.563812	3.232602
0.575	8265.479606	-19318.118876	-11052.639271	3.238711
0.58	8266.190265	-19317.746356	-11051.556091	3.240291
0.585	8270.364455	-19321.984419	-11051.619964	3.238200
0.59	8274.512111	-19326.917238	-11052.405127	3.235440
0.595	8275.521357	-19327.275820	-11051.754463	3.235397
0.6	8272.430019	-19323.180594	-11050.750574	3.238495
0.605	8266.483979	-19316.609671	-11050.125692	3.243590
0.61	8259.980707	-19310.180474	-11050.199767	3.248866
0.615	8254.797320	-19304.744237	-11049.946917	3.253327
0.62	8251.728994	-19301.007983	-11049.278989	3.256421
0.625	8251.057010	-19300.359294	-11049.302284	3.257522
0.63	8253.131133	-19302.812525	-11049.681392	3.256540
0.635	8258.009068	-19308.542455	-11050.533386	3.253440
0.64	8264.592366	-19314.998531	-11050.406165	3.249726
0.645	8270.448926	-19321.338016	-11050.889089	3.246723
0.65	8272.970713	-19323.738751	-11050.768038	3.247009
0.655	8271.029383	-19321.403638	-11050.374254	3.251390
0.66	8265.457743	-19315.547832	-11050.090089	3.259111
0.665	8257.784010	-19308.103945	-11050.319935	3.268832
0.67	8248.919258	-19299.363823	-11050.444565	3.280076
0.675	8239.002701	-19289.486750	-11050.484049	3.292662
0.68	8227.690545	-19278.506334	-11050.815789	3.306602
0.685	8214.610603	-19265.603322	-11050.992719	3.322240
0.69	8199.878354	-19251.106659	-11051.228305	3.339259
0.695	8183.728285	-19235.110880	-11051.382595	3.357323
0.7	8165.559466	-19216.979330	-11051.419864	3.376692
0.705	8144.484879	-19195.763396	-11051.278516	3.397882
0.71	8121.483052	-19172.926588	-11051.443536	3.419764
0.715	8100.231053	-19150.974938	-11050.743884	3.439816
0.72	8085.376798	-19136.516563	-11051.139766	3.453577
0.725	8079.926735	-19130.862486	-11050.935750	3.459361
0.73	8083.542832	-19134.571690	-11051.028858	3.457033
0.735	8092.756688	-19143.432608	-11050.675919	3.449566
0.74	8103.453913	-19154.450694	-11050.996782	3.439789
0.745	8114.039987	-19165.085482	-11051.045495	3.429484
0.75	8800.000000	-19177.837184	-10377.837184	3.507251
0.755	8809.049508	-19186.822811	-10377.773303	3.497822
0.76	8808.391288	-19185.507055	-10377.115767	3.497155
0.765	8796.793757	-19173.004327	-10376.210569	3.506082
0.77	8774.906457	-19150.084515	-10375.178058	3.523947
0.775	8746.574643	-19121.260733	-10374.686090	3.547339
0.78	8717.851125	-19092.613785	-10374.762661	3.571354
0.785	8694.253356	-19068.569431	-10374.316075	3.591919
0.79	8678.669550	-19052.564666	-10373.895115	3.606377
0.795	8671.655058	-19045.326361	-10373.671303	3.614079
0.8	8672.725009	-19046.098382	-10373.373372	3.615433
0.805	8680.485694	-19053.793103	-10373.307408	3.611415
0.81	8691.861442	-19064.867608	-10373.006167	3.604675
0.815	8702.076808	-19075.758724	-10373.681916	3.598519
0.82	8706.172747	-19080.032132	-10373.859385	3.597457
0.825	8701.200844	-19075.657530	-10374.456686	3.603464
0.83	8687.711769	-19061.883688	-10374.171919	3.616664
0.835	8669.376475	-19042.944351	-10373.567875	3.633993
0.84	8650.697268	-19023.615352	-10372.918084	3.651804
0.845	8634.573555	-19008.339772	-10373.766218	3.667151
0.85	8621.725542	-18995.856605	-10374.131064	3.680156
0.855	8611.912581	-18986.729460	-10374.816879	3.690548
0.86	8604.875955	-18980.239827	-10375.363871	3.698610
0.865	8600.420094	-18975.794456	-10375.374362	3.704613
0.87	8598.466400	-18974.512818	-10376.046418	3.708135
0.875	8598.723176	-18974.733171	-10376.009994	3.709947
0.88	8600.248767	-18976.373296	-10376.124529	3.710445
0.885	8602.125999	-18978.207289	-10376.081290	3.710477
0.89	8603.872899	-18980.097829	-10376.224930	3.710272
0.895	8604.655945	-18981.218448	-10376.562503	3.710473
0.9	8603.112570	-18980.003032	-10376.890462	3.712208
0.905	8598.646138	-18975.317511	-10376.671373	3.716121
0.91	8592.796407	-18969.386067	-10376.589661	3.720712
0.915	8589.077880	-18965.047099	-10375.969219	3.723523
0.92	8591.163656	-18967.604977	-10376.441321	3.721057
0.925	8600.253442	-18976.759317	-10376.505875	3.712991
0.93	8614.089188	-18990.269605	-10376.180418	3.701135
0.935	8629.170153	-19005.598898	-10376.428746	3.687919
0.94	8643.023541	-19019.334932	-10376.311391	3.675764
0.945	8654.069490	-19030.174147	-10376.104657	3.665934
0.95	8660.834997	-19036.702700	-10375.867703	3.659682
0.955	8662.178922	-19037.576527	-10375.397605	3.658067
0.96	8658.096787	-19032.951702	-10374.854915	3.661051
0.965	8650.127219	-19024.220681	-10374.093462	3.667472
0.97	8640.829440	-19015.230577	-10374.401136	3.674772
0.975	8632.734373	-19007.238065	-10374.503692	3.681400
0.98	8627.384877	-19002.221460	-10374.836582	3.685896
0.985	8624.804087	-18999.623749	-10374.819662	3.688401
0.99	8624.053858	-18999.285522	-10375.231664	3.689292
0.995	8624.413491	-18999.388567	-10374.975076	3.689562
