1.555	0.000853
1.56	0.000842
1.565	0.000830
1.57	0.000816
1.575	0.000803
1.58	0.000790
1.585	0.000779
1.59	0.000770
1.595	0.000764
1.6	0.000761
1.605	0.000760
1.61	0.000761
1.615	0.000764
1.62	0.000769
1.625	0.000774
1.63	0.000780
1.635	0.000785
1.64	0.000789
1.645	0.000792
1.65	0.000793
1.655	0.000791
1.66	0.000787
1.665	0.000782
1.67	0.000774
1.675	0.000767
1.68	0.000760
1.685	0.000755
1.69	0.000752
1.695	0.000751
1.7	0.000753
1.705	0.000756
1.71	0.000761
1.715	0.000768
1.72	0.000776
1.725	0.000784
1.73	0.000792
1.735	0.000800
1.74	0.000807
1.745	0.000813
1.75	0.000817
1.755	0.000818
1.76	0.000816
1.765	0.000810
1.77	0.000800
1.775	0.000784
1.78	0.000764
1.785	0.000737
1.79	0.000706
1.795	0.000670
1.8	0.000630
1.805	0.000587
1.81	0.000541
1.815	0.000495
1.82	0.000448
1.825	0.000404
1.83	0.000362
1.835	0.000323
1.84	0.000289
1.845	0.000258
1.85	0.000231
1.855	0.000207
1.86	0.000186
1.865	0.000167
1.87	0.000150
1.875	0.000135
1.88	0.000123
1.885	0.000112
1.89	0.000103
1.895	0.000095
1.9	0.000088
1.905	0.000082
1.91	0.000076
1.915	0.000070
1.92	0.000064
1.925	0.000058
1.93	0.000051
1.935	0.000045
1.94	0.000038
1.945	0.000032
1.95	0.000025
1.955	0.000020
1.96	0.000015
1.965	0.000010
1.97	0.000007
1.975	0.000005
1.98	0.000004
1.985	0.000005
1.99	0.000007
1.995	0.000011
2	0.000016
2.005	0.000023
2.01	0.000032
2.015	0.000044
2.02	0.000057
2.025	0.000073
2.03	0.000091
2.035	0.000110
2.04	0.000130
2.045	0.000151
2.05	0.000171
2.055	0.000189
2.06	0.000205
2.065	0.000218
2.07	0.000228
2.075	0.000234
2.08	0.000236
2.085	0.000234
2.09	0.000230
2.095	0.000222
2.1	0.000212
2.105	0.000201
2.11	0.000188
2.115	0.000174
2.12	0.000161
2.125	0.000148
2.13	0.000135
2.135	0.000123
2.14	0.000113
2.145	0.000104
2.15	0.000096
2.155	0.000090
2.16	0.000084
2.165	0.000080
2.17	0.000077
2.175	0.000076
2.18	0.000075
2.185	0.000076
2.19	0.000078
2.195	0.000081
2.2	0.000084
2.205	0.000088
2.21	0.000093
2.215	0.000097
2.22	0.000100
2.225	0.000102
2.23	0.000104
2.235	0.000104
2.24	0.000103
2.245	0.000101
2.25	0.000098
2.255	0.000095
2.26	0.000091
2.265	0.000087
2.27	0.000083
2.275	0.000080
2.28	0.000076
2.285	0.000073
2.29	0.000071
2.295	0.000068
2.3	0.000067
2.305	0.000065
2.31	0.000064
2.315	0.000064
2.32	0.000064
2.325	0.000064
2.33	0.000065
2.335	0.000066
2.34	0.000068
2.345	0.000070
2.35	0.000071
2.355	0.000072
2.36	0.000073
2.365	0.000073
2.37	0.000073
2.375	0.000073
2.38	0.000071
2.385	0.000070
2.39	0.000067
2.395	0.000063
2.4	0.000058
2.405	0.000052
2.41	0.000046
2.415	0.000039
2.42	0.000033
2.425	0.000027
2.43	0.000021
2.435	0.000017
2.44	0.000013
2.445	0.000010
2.45	0.000008
2.455	0.000007
2.46	0.000006
2.465	0.000007
2.47	0.000008
2.475	0.000010
2.48	0.000012
2.485	0.000014
2.49	0.000016
2.495	0.000017
2.5	0.000019
2.505	0.000020
2.51	0.000021
2.515	0.000022
2.52	0.000022
2.525	0.000023
2.53	0.000024
2.535	0.000025
2.54	0.000028
2.545	0.000031
2.55	0.000035
2.555	0.000041
2.56	0.000049
2.565	0.000058
2.57	0.000070
2.575	0.000084
2.58	0.000100
2.585	0.000117
2.59	0.000135
2.595	0.000153
2.6	0.000171
2.605	0.000188
2.61	0.000204
2.615	0.000219
2.62	0.000233
2.625	0.000246
2.63	0.000256
2.635	0.000265
2.64	0.000271
2.645	0.000274
2.65	0.000273
2.655	0.000270
2.66	0.000263
2.665	0.000254
2.67	0.000241
2.675	0.000226
2.68	0.000208
2.685	0.000189
2.69	0.000169
2.695	0.000148
2.7	0.000127
2.705	0.000107
2.71	0.000088
2.715	0.000070
2.72	0.000054
2.725	0.000041
2.73	0.000030
2.735	0.000021
2.74	0.000014
2.745	0.000010
2.75	0.000007
2.755	0.000004
2.76	0.000003
2.765	0.000002
2.77	0.000001
2.775	0.000001
2.78	0.000000
2.785	0.000000
2.79	0.000000
2.795	0.000001
2.8	0.000001
2.805	0.000003
2.81	0.000005
2.815	0.000008
2.82	0.000013
2.825	0.000019
2.83	0.000027
2.835	
